组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
c783ac792d08465087773d9f1a35217f,10441903,东莞市烟草专卖局第二分局,东莞市局第二分局,441900,440000
467fa1cb7fe647508f1d2cbc4f09e7e4,10370503,东营市东营区烟草专卖局,东营市东营区局,370502,370000
052db5ea3eda4bc287f18b8e663eba8e,10370505,东营市河口区烟草专卖局,东营市河口区局,370503,370000
1fc1fae98b4047799eda1f808736063e,10370501,东营市烟草专卖局,东营市局,370500,370000
93d91cda68ef4fb4946f8db82fa81354,10420103,东西湖区烟草专卖局,东西湖区局,420112,420000
ef6a063bc8a048cd8a1acb45535ca604,11420103,东西湖区烟草公司,东西湖区烟草公司,420100,420000
482fb89822574eb7877cbe55e60d86d1,10220403,东辽县烟草专卖局,东辽县局,220422,220000
25611f8fa7504fcda354e2fe25e5ec87,10330703,东阳市烟草专卖局,浙江省东阳市局,330700,330000
d11441a3b8114298886882eda12d9caf,10371503,东阿县烟草专卖局,东阿县局,371524,370000
5f316b1f2222459e90a2b9b0fac4b917,10210103,东陵区烟草专卖局,东陵区局,210112,210000
1bb1cb7a2e374d31a48fc4453d67919c,10331101,丽水市烟草专卖局,浙江省丽水市局,331100,330000
e0d1939f2bae47d0854b42df1b082a48,11530702,丽江市烟草公司华坪县分公司,丽江市烟草公司华坪县分公司,530700,530000
deac55b682f7451e91791a5291cbe2d4,11530706,丽江市烟草公司古城分公司,丽江市烟草公司古城分公司,530700,530000
903994cc92164267adc7ba598189bf6c,11530704,丽江市烟草公司宁蒗县分公司,丽江市烟草公司宁蒗县分公司,530700,530000
b17cb8dff4ea421ebe3a6ac8dc958f23,11530705,丽江市烟草公司永胜县分公司,丽江市烟草公司永胜县分公司,530700,530000
39029309ad3c45878c2dfac0c8dd0545,11530703,丽江市烟草公司玉龙县分公司,丽江市烟草公司玉龙县分公司,530700,530000
8f2d4c124e6a4f359ee1ebc261e74702,10532502,个旧市烟草专卖局,个旧市局,532501,530000
182c7ee7a51a41f596f238b5add6fab5,10640304,中卫县烟草专卖局,中卫县局,640500,640000
1a2a29dd6c7548ceb8c49debc43d246a,10640311,中卫市沙坡头区烟草专卖局,中卫市沙坡头区烟草专卖局,640321,640000
e41207993dee4ccf9d572298d6f518dc,10640308,中卫市烟草专卖局,中卫市烟草专卖局,640321,640000
4f4e5bd46716482998ce0d03083ff282,22000001,中国卷烟销售公司,中国卷烟销售公司,110000,110000
f8799802e3af4295aa7e0ab2155e4dad,22350202,中国卷烟销售公司厦门卷烟调拨站,中国卷烟销售公司厦门卷烟调拨站,350200,350000
95648db3ff294615a2b4c3c92b2d96ca,22222402,中国卷烟销售公司延吉调拨站,中国卷烟销售公司延吉调拨站,220000,220000
f2d1091758d34db4a7753d6be477ffdb,99000004,中国双维投资公司,中国双维投资公司,110104,110000
ebe6394ec1734841a7d05aa6236a78b3,19000001,中国烟叶生产购销公司,中国烟叶生产购销公司,110000,110000
ca97c8d2e5e0406283aa5c6e6b3caf33,18310001,中国烟草上海进出口有限责任公司,中国烟草上海进出口有限责任公司,310000,310000
78d4d698748749febe657fe75c621f6d,18530001,中国烟草云南进出口有限公司,中国烟草云南进出口有限公司,530000,530000
c3c30d970542463b9e6858785de239b5,18510001,中国烟草四川进出口有限责任公司,中国烟草四川进出口公司,510000,510000
b6dc44614bba47238047224142b3ccf9,18000001,中国烟草国际有限公司,中国烟草国际有限公司,110000,110000
2ab036d2259244878074bfc07bfb126a,99000002,中国烟草实业发展中心,中国烟草实业发展中心,110000,110000
8f18c3f864fe4ae78a578626d9854539,18370001,中国烟草山东进出口有限责任公司,中国烟草山东进出口有限责任公司,370000,370000
e3fdd569a2094297a7a8df01c54a0fa5,18440001,中国烟草广东进出口有限公司,中国烟草广东进出口有限公司,440000,440000
3b073f21e8ea452089138884bb87083e,11000001,中国烟草总公司,中国烟草总公司,110000,110000
eb9096f5273746c1aee6d0167d429dad,11530001,中国烟草总公司云南省公司,云南省烟草公司,530100,530000
9b881608b05d4e18aa727408094a33a4,11150001,中国烟草总公司内蒙古自治区公司,内蒙古区烟草公司,150000,150000
6e87ab7011104ce88c0bd77a4709fa4c,21150101,中国烟草总公司内蒙古自治区公司烟叶物资分公司,中国烟草总公司内蒙古自治区公司烟叶物资分公司,150100,150000
15a8deb07b404b6ca65d483a4676aab0,11110001,中国烟草总公司北京市公司,北京市烟草公司,110000,110000
92a7b7f8ae6c445580e553ca385201f5,17340001,中国烟草总公司合肥设计院,合肥设计院,340100,340000
cd668f03c73c46bf8540a8a32382a0e7,11220001,中国烟草总公司吉林省公司,吉林省烟草,220100,220000
7a84456967b74f5caf62bff5fbbe300e,11222501,中国烟草总公司吉林省吉申烟草有限责任公司,吉林省吉申烟草有限责任公司,220000,220000
bb95a204b1bb42f792fe3fa528dcf413,11510001,中国烟草总公司四川省公司,中国烟草总公司四川省公司,510100,510000
8f4a981385be4cc2acdd816debbb62b7,11210201,中国烟草总公司大连市公司,中国烟草总公司大连市公司,210200,210200
c07765d1544e43b0acad4fad99e97d4f,11210208,中国烟草总公司大连市公司中山区分公司,大连市中山区分公司,210202,210200
d34d7dbf362843e6b9e734a6700f37b2,11210210,中国烟草总公司大连市公司沙河口区分公司,大连市沙河口区分公司,210204,210200
9c1fc3a00f3943b8985593f82e37d552,11210211,中国烟草总公司大连市公司甘井子区分公司,大连市甘井子区分公司,210211,210200
bbe0ff59f9924e2b8f9cb62879f46db1,11210209,中国烟草总公司大连市公司西岗区分公司,大连市西岗区分公司,210203,210200
5497ecf0636e48afa297d5974fc39e45,11210212,中国烟草总公司大连市公司长海县分公司,大连市司长海县分公司,210224,210200
7343724f0692431986a0e0f2935a2b83,11120001,中国烟草总公司天津市公司,天津市烟草公司,120000,120000
