论文里的名字,组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
山东德州烟草有限公司德城营销部,a96c7d334e674709a4d53fd82f6af00a,11371401,山东德州烟草有限公司,山东德州烟草有限公司,371400,370000
山东德州烟草有限公司禹城营销部,a96c7d334e674709a4d53fd82f6af00a,11371401,山东德州烟草有限公司,山东德州烟草有限公司,371400,370000
山东德州烟草有限公司陵县营销部,a96c7d334e674709a4d53fd82f6af00a,11371401,山东德州烟草有限公司,山东德州烟草有限公司,371400,370000
山东德州烟草有限公司齐河营销部,a96c7d334e674709a4d53fd82f6af00a,11371401,山东德州烟草有限公司,山东德州烟草有限公司,371400,370000
山东新泰市烟草专卖局,a2531dd3fc734318a4e1606d5bfa197d,10370905,新泰市烟草专卖局,新泰市局,370982,370000
山东日照市烟草专卖局（公司）,e70290eaf9804ff58f5eb6610d59d522,10371101,日照市烟草专卖局,日照市局,371100,370000
山东日照烟草有限公司,15fe1c7eacb4486c9ddb56bc72926b5f,11371101,山东日照烟草有限公司,山东日照烟草有限公司,371100,370000
山东日照烟草有限公司东港分公司,15fe1c7eacb4486c9ddb56bc72926b5f,11371101,山东日照烟草有限公司,山东日照烟草有限公司,371100,370000
山东日照烟草有限公司五莲分公司,15fe1c7eacb4486c9ddb56bc72926b5f,11371101,山东日照烟草有限公司,山东日照烟草有限公司,371100,370000
山东日照烟草有限公司五莲烟草公司,15fe1c7eacb4486c9ddb56bc72926b5f,11371101,山东日照烟草有限公司,山东日照烟草有限公司,371100,370000
山东日照烟草有限公司岚山分公司,15fe1c7eacb4486c9ddb56bc72926b5f,11371101,山东日照烟草有限公司,山东日照烟草有限公司,371100,370000
山东日照烟草有限公司莒县分公司,15fe1c7eacb4486c9ddb56bc72926b5f,11371101,山东日照烟草有限公司,山东日照烟草有限公司,371100,370000
山东日照烟草有限公司财务科,15fe1c7eacb4486c9ddb56bc72926b5f,11371101,山东日照烟草有限公司,山东日照烟草有限公司,371100,370000
山东枣庄烟草有限公司,b32e00fc7ded4bb081e84b6538c5cb50,11370401,山东枣庄烟草有限公司,山东枣庄烟草有限公司,370400,370000
山东枣庄烟草有限公司会计科,b32e00fc7ded4bb081e84b6538c5cb50,11370401,山东枣庄烟草有限公司,山东枣庄烟草有限公司,370400,370000
山东枣庄烟草有限公司卷烟物流配送中心,b32e00fc7ded4bb081e84b6538c5cb50,11370401,山东枣庄烟草有限公司,山东枣庄烟草有限公司,370400,370000
山东沂水县烟草专卖局,9b325ef014ac4b8e88a4e4c23c7eda24,10371313,沂水县烟草专卖局,沂水县局,371323,370000
山东泰安市烟草专卖局,13ebf4925d1445d692ea323d33a16272,10370901,泰安市烟草专卖局,泰安市局,370900,370000
山东泰安市烟草专卖局(公司),13ebf4925d1445d692ea323d33a16272,10370901,泰安市烟草专卖局,泰安市局,370900,370000
山东泰安烟草有限公司,9e45b748a7e74b6b9e507f2fd6526dbc,11370901,山东泰安烟草有限公司,山东泰安烟草有限公司,370900,370000
山东泰安烟草有限公司信息中心,9e45b748a7e74b6b9e507f2fd6526dbc,11370901,山东泰安烟草有限公司,山东泰安烟草有限公司,370900,370000
山东泰安烟草有限公司岱岳经营部,9e45b748a7e74b6b9e507f2fd6526dbc,11370901,山东泰安烟草有限公司,山东泰安烟草有限公司,370900,370000
山东泰安烟草有限公司岱岳营销部,9e45b748a7e74b6b9e507f2fd6526dbc,11370901,山东泰安烟草有限公司,山东泰安烟草有限公司,370900,370000
山东泰安烟草有限公司物流配送中心,9e45b748a7e74b6b9e507f2fd6526dbc,11370901,山东泰安烟草有限公司,山东泰安烟草有限公司,370900,370000
山东济南将军烟草集团有限公司,7445f47771d34c2f91ef20bae0ee21f0,12370101,将军烟草集团有限公司,将军烟草集团,370100,370000
山东济南烟草有限公司,0ba3fc8ec9d64ae38a3a39e41bc88bcc,11370101,山东济南烟草有限公司,山东济南烟草有限公司,370100,370000
山东济南烟草有限公司/济南市烟草专卖局,0ba3fc8ec9d64ae38a3a39e41bc88bcc,11370101,山东济南烟草有限公司,山东济南烟草有限公司,370100,370000
山东济南烟草有限公司卷烟配送中心,0ba3fc8ec9d64ae38a3a39e41bc88bcc,11370101,山东济南烟草有限公司,山东济南烟草有限公司,370100,370000
山东济南烟草有限公司天桥区局(营销部),0ba3fc8ec9d64ae38a3a39e41bc88bcc,11370101,山东济南烟草有限公司,山东济南烟草有限公司,370100,370000
山东济南烟草有限公司综合计划处,0ba3fc8ec9d64ae38a3a39e41bc88bcc,11370101,山东济南烟草有限公司,山东济南烟草有限公司,370100,370000
山东济南烟草有限公司财务(国有资产管理)处,0ba3fc8ec9d64ae38a3a39e41bc88bcc,11370101,山东济南烟草有限公司,山东济南烟草有限公司,370100,370000
山东济宁市烟草专卖局,539ed8b5429d4d17b7a9e897d2725958,10370801,济宁市烟草专卖局,济宁市局,370800,370000
山东济宁市烟草专卖局(公司),539ed8b5429d4d17b7a9e897d2725958,10370801,济宁市烟草专卖局,济宁市局,370800,370000
山东济宁烟草有限公司,3aed6fa8153c4650975b10262cc464ea,11370801,山东济宁烟草有限公司,山东济宁烟草有限公司,370800,370000
山东济宁烟草有限公司微山营销部,3aed6fa8153c4650975b10262cc464ea,11370801,山东济宁烟草有限公司,山东济宁烟草有限公司,370800,370000
山东济宁烟草有限公司鱼台营销部,3aed6fa8153c4650975b10262cc464ea,11370801,山东济宁烟草有限公司,山东济宁烟草有限公司,370800,370000
山东淄博市烟草专卖局,2bc372301fdc475fa4d46cfe0f5d6558,10370301,淄博市烟草专卖局,淄博市局,370300,370000
山东淄博市烟草专卖局(公司)临淄区局(营销部),2bc372301fdc475fa4d46cfe0f5d6558,10370301,淄博市烟草专卖局,淄博市局,370300,370000
山东淄博烟草有限公司,b3e86e706f4947adabe6c186dce50fe9,11370301,山东淄博烟草有限公司,山东淄博烟草有限公司,370300,370000
山东淄博烟草有限公司临淄营销部,b3e86e706f4947adabe6c186dce50fe9,11370301,山东淄博烟草有限公司,山东淄博烟草有限公司,370300,370000
山东淄博烟草有限公司博山分公司,b3e86e706f4947adabe6c186dce50fe9,11370301,山东淄博烟草有限公司,山东淄博烟草有限公司,370300,370000
山东淄博烟草有限公司审计科,b3e86e706f4947adabe6c186dce50fe9,11370301,山东淄博烟草有限公司,山东淄博烟草有限公司,370300,370000
山东淄博烟草有限公司沂源分公司,b3e86e706f4947adabe6c186dce50fe9,11370301,山东淄博烟草有限公司,山东淄博烟草有限公司,370300,370000
山东淄博烟草有限公司淄川分公司,b3e86e706f4947adabe6c186dce50fe9,11370301,山东淄博烟草有限公司,山东淄博烟草有限公司,370300,370000
山东淄博烟草有限公司财务科,b3e86e706f4947adabe6c186dce50fe9,11370301,山东淄博烟草有限公司,山东淄博烟草有限公司,370300,370000
山东滨州烟草有限公司,7167ac3032914effb54937598e9b630b,11371601,山东滨州烟草有限公司,山东滨州烟草有限公司,371600,370000
山东滨州烟草有限公司博兴营销部,7167ac3032914effb54937598e9b630b,11371601,山东滨州烟草有限公司,山东滨州烟草有限公司,371600,370000
山东滨州烟草有限公司惠民营销部,7167ac3032914effb54937598e9b630b,11371601,山东滨州烟草有限公司,山东滨州烟草有限公司,371600,370000
