论文里的名字,﻿组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
译自《烟草通讯》，2009年11期16-19页和《烟草通讯》，2009年12期12-16页,﻿组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
诸城市烟草公司,ecd97568b6bb48a8a121f2ea86169559,14370702,山东烟叶复烤有限公司诸城复烤厂,山东烟叶复烤公司诸城复烤厂,370700,370000
诸城烟草分公司,a71cd138dd4e43d1bcdcc263d81eabff,11370710,山东潍坊烟草有限公司诸城分公司,山东潍坊烟草诸城分公司,370700,370000
象山县烟草公司,bfbdd81f75fa4165963ddb51cc905c8f,10330205,象山县烟草专卖局,浙江省象山县局,330200,330000
贝日腊克烟草研究所,5a367f29e9ae4e00a368337ba56dc251,99310102,上海新型烟草制品研究院有限公司,上海新型烟草制品研究院,310000,310000
贯州省烟草科学研究所,103a6c364f0547e9bfe1293a3d1cdb93,17520001,贵州省烟草科学研究所,贵州省烟草科学研究所,520100,520000
贵定县烟草公司,c5d516b3e58d4db8973e260ae5f0b343,11522708,贵定县公司,贵定县公司,522700,520000
贵定县烟草分公司,c5d516b3e58d4db8973e260ae5f0b343,11522708,贵定县公司,贵定县公司,522700,520000
贵定烟草分公司,c5d516b3e58d4db8973e260ae5f0b343,11522708,贵定县公司,贵定县公司,522700,520000
贵州三都县烟草公司,3e3564db62c84c04bdae0f8af706e4af,10522705,三都县烟草专卖局,三都县局,522732,520000
贵州天柱县烟草分公司,fb80d1922bda4db0a4634d2576a08e79,10522615,黔东南州天柱县烟草专卖局,黔东南州天柱县局,522627,520000
贵州天柱烟草分公司,979bc97cfc534bc38d0a5eafebb8969b,14522202,贵州省烟草公司铜仁分公司思南烟叶复烤厂,贵州省烟草铜仁分公司思南烟叶复烤厂,520000,520000
贵州安阳县烟草公司,9ce919dafd54417d9589be8cc7c7ad35,12410501,安阳卷烟厂,安阳卷烟厂,410500,410000
贵州安顺烟草分公司,93c15ebf17554a5386e2ffb86b7bf1d5,14520401,贵州省安顺市烟叶复烤厂,贵州省安顺市烟叶复烤厂,520400,520000
贵州市山区烟草专卖局,78b8f32267604823929f97cadf2dd781,10150403,赤峰市元宝山区烟草专卖局,元宝山区局,150400,150000
贵州平塘县烟草局,15e7f97a51b94fa0988f86347359f388,11522704,平塘县公司,平塘县公司,522700,520000
贵州开阳县烟草公司,c16471251b8b46189bfe9c70d682e3de,11520103,贵阳市分公司开阳县烟草公司,贵阳市开阳县烟草公司,520100,520000
贵州思南县烟草公司,57a70f7fd8b1402fb41c3e903eeca2ff,11522204,贵州省烟草公司思南县公司,贵州省烟草公司思南县公司,522200,520000
贵州毕节地区烟草专卖局,727f78b3a83541c3997c458d4096322e,14520003,"贵州烟叶复烤有限责任公司毕节复烤厂",贵州烟叶毕节复烤厂,522401,520000
贵州毕节地区烟草公司大方县分公司,727f78b3a83541c3997c458d4096322e,14520003,"贵州烟叶复烤有限责任公司毕节复烤厂",贵州烟叶毕节复烤厂,522401,520000
贵州毕节地区烟草公司金沙县分公司,727f78b3a83541c3997c458d4096322e,14520003,"贵州烟叶复烤有限责任公司毕节复烤厂",贵州烟叶毕节复烤厂,522401,520000
贵州毕节市烟草公司,727f78b3a83541c3997c458d4096322e,14520003,"贵州烟叶复烤有限责任公司毕节复烤厂",贵州烟叶毕节复烤厂,522401,520000
